timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
284485649,0.40972993,-0.14238966,0.14376366
284507728,0.40674737,-0.14824086,0.14689317
284530326,0.40674737,-0.15409206,0.13750465
284550638,0.40674737,-0.15994325,0.13750465
284572639,0.4037648,-0.16286883,0.14376366
284594060,0.4037648,-0.16872004,0.14376366
284616639,0.3977997,-0.17164563,0.15628171
284639649,0.3977997,-0.17457123,0.14689317
284661645,0.3977997,-0.17749682,0.14689317
284685638,0.39481717,-0.17749682,0.15628171
284706638,0.38885203,-0.18042243,0.15941124
284726645,0.3918346,-0.18334803,0.16254073
284748687,0.38885203,-0.18334803,0.16254073
284770646,0.38885203,-0.18042243,0.16254073
284792648,0.38885203,-0.18042243,0.15941124
284815683,0.38885203,-0.18042243,0.16879977
284837649,0.38885203,-0.17457123,0.16567026
284860696,0.3918346,-0.17164563,0.16567026
284882679,0.38885203,-0.16872004,0.16879977
284904649,0.39481717,-0.16579443,0.17192928
284926669,0.3918346,-0.15994325,0.17192928
284949638,0.3918346,-0.15701765,0.1750588
284970679,0.3918346,-0.15116645,0.18757685
284991651,0.39481717,-0.14238966,0.18444735
285012639,0.3918346,-0.13946407,0.19070637
285034670,0.39481717,-0.13653846,0.19070637
285055638,0.39481717,-0.13068728,0.18757685
285077481,0.3977997,-0.12776168,0.19070637
285101285,0.3977997,-0.12191048,0.1969654
285124452,0.3977997,-0.11313369,0.20009491
285146514,0.39481717,-0.1072825,0.20009491
285169687,0.39481717,-0.1014313,0.20635393
285193642,0.39481717,-0.09265451,0.20322442
285216539,0.39481717,-0.089728914,0.20948344
285240541,0.3918346,-0.08095213,0.20948344
285263881,0.3858695,-0.07510093,0.225131
285288004,0.38288692,-0.06924974,0.2220015
285311894,0.37990436,-0.066324145,0.23451954
285335075,0.3769218,-0.060472947,0.24703759
285359199,0.36797413,-0.05754735,0.2501671
285380647,0.36797413,-0.054621752,0.26268518
285401639,0.35902646,-0.054621752,0.2658147
285423667,0.35306135,-0.05169616,0.27520323
285447650,0.34709623,-0.05169616,0.2939803
285471640,0.33814856,-0.05169616,0.30336884
285495082,0.3292009,-0.048770558,0.30336884
